ID,Name,Average Viewers,Average Channels,Rank,Hours Watched
2,Hyperballoid Deluxe: Survival Pack,2,1,4010,312
3,Bass Avenger,13,1,13443,24
5,Desert Strike: Return to the Gulf,4,1,25245,1
11,WWE SmackDown vs. Raw 2007,3,1,10415,30
13,Mary-Kate and Ashley: Sweet 16 - Licensed to Drive,3,1,22993,1
45,F-Zero: Maximum Velocity,8,1,5912,215
60,NBA Street V3,3,1,11981,20
82,Miner 2049er Volume II,2,1,24443,1
147,187 Ride or Die,2,1,18604,4
169,Ghosthunter,1,1,13910,10
177,Stronghold,6,1,10087,45
221,The Black Mirror,103,1,3921,687
236,LEGO Star Wars: The Video Game,2,1,16282,7
243,Moero! Nekketsu Rhythm Damashii Osu! Tatakae! Ouendan 2,5,1,23154,2
272,Vampire Killer,2,1,15721,9
295,Dungeons & Dragons: Warriors of the Eternal Sun,1,1,15436,4
317,Tomb Raider II,7,1,4495,400
352,Resident Evil: Deadly Silence,108,1,2281,2263
415,The King of Fighters 2001,3,1,20040,3
431,Tom Clancy's Splinter Cell: Double Agent,8,1,5405,291
518,Mega Man X8,9,2,3818,511
542,Nightmare Creatures,10,1,8970,74
549,Rugby,1,1,10472,19
565,Animal,1,1,4613,169
572,King's Field,66,1,2305,2199
602,Ultrono Arena,0,1,16494,2
621,Betrayal,6,1,20358,4
636,Jak X: Combat Racing,16,1,3133,1057
666,Metal Gear 2: Solid Snake,72,1,1859,3479
700,The Incredibles,106,1,3201,1116
729,Super Stardust HD,2,1,13998,14
759,Harvester,403,1,801,17856
773,Ys: The Oath in Felghana,4,1,6307,158
812,Shingen the Ruler,1,1,17623,4
890,Garfield,3,1,12244,23
910,OKAGE: Shadow King,1,1,11541,22
935,Blaster Master Jr.,0,1,26793,0
984,Dr. Mario 64,14,1,7479,127
1018,Trespasser,2,1,16954,5
1038,Balance of the Planet,0,1,25733,0
1059,Kill.Switch,6,1,13160,23
1124,Mega Man 5,12,1,4197,522
1139,WarPath,1,1,12771,11
1155,Blaster Master,7,1,8044,101
1222,Tales of Destiny,13,1,3006,1158
1229,Super Mario World,856,26,207,143931
1248,ALF's U.S. Geography,5,1,14980,13
1263,Crime Life: Gang Wars,1,1,21832,1
1270,Rubik's Cube,8,3,2260,1394
1296,Sid Meier's Pirates!,2,1,11330,25
1311,Team Xtreme: Operation Weather Disaster,2,1,19053,4
1356,Grabbed by the Ghoulies,14,1,6614,178
1372,Bricks,3,1,14081,14
1379,Aliens versus Predator 2,15,1,5929,242
1430,Empire Earth II,1,1,21833,1
1453,Dynamite Cop,2,1,18076,4
1460,Lumines II,1,1,20875,1
1468,Resident Evil 4,551,6,284,92594
1504,Gundam Battle Assault 2,3,1,16497,8
1520,Ninja Gaiden,10,1,4712,407
1585,Dungeon Siege II,3,1,9455,40
1593,Lethal Enforcers,1,1,17798,4
1600,Double Dragon,9,1,7967,98
1607,PGA Tour 96,1,1,19591,2
1640,Puzzle,13,1,3491,790
1654,Gothic II,166,11,577,27883
1687,Adventures with Barbie: Ocean Discovery,2,1,23655,1
1694,Ninja Gaiden III: The Ancient Ship of Doom,10,1,4674,387
1810,Syberia II,7,1,5450,259
1818,Gothic,40,5,1290,6066
1884,Escape from Traam,1,1,14163,11
1924,Conflict: Denied Ops,2,1,21399,2
1952,Onimusha: Dawn of Dreams,3,1,14669,14
2051,Elite Darts,1,1,22417,1
2058,Sword of Mana,2,1,7631,83
2069,Sonic R,31,1,6643,192
2087,Crash Nitro Kart,41,1,2958,1258
2093,Robotech: Invasion,1,1,22996,1
2107,Rad Racer II,1,1,22418,1
2113,Joan of Arc,1,1,10438,20
2126,Wheel of Fortune,6,1,3718,598
2147,Thief: Deadly Shadows,4,1,11291,29
2182,extreme-G,2,1,18331,3
2208,Disaster Report,2,1,9821,28
