ID,Name,Average Viewers,Average Channels,Rank,Hours Watched
509658,Just Chatting,325445,4359,1,54783211
32982,Grand Theft Auto V,162170,2837,2,27298593
21779,League of Legends,124361,2442,3,20934062
516575,VALORANT,116987,4254,4,19692848
33214,Fortnite,67555,7112,5,11371701
32399,Counter-Strike,78066,1252,6,13141077
263490,Rust,73615,351,7,12391840
29595,Dota 2,58710,1216,8,9882926
512710,Call of Duty: Warzone,44675,4071,9,7520248
515025,Overwatch 2,43600,1887,10,7339307
460630,Tom Clancy's Rainbow Six Siege,31957,1962,11,5379358
511224,Apex Legends,30154,2595,12,5075988
143106037,EA Sports FC 24,31973,996,13,5382138
518203,Sports,30698,210,14,5167573
27471,Minecraft,27153,1793,15,4570778
18122,World of Warcraft,26534,759,17,4466551
513143,Teamfight Tactics,25556,335,18,4301903
491487,Dead by Daylight,22929,1512,19,3859646
2106425216,Gray Zone Warfare,30388,67,20,4188477
987123848,No Rest for the Wicked,26234,242,21,3768951
498566,Slots,20262,101,22,3410805
138585,Hearthstone,19863,189,23,3343618
26936,Music,16778,872,24,2824321
29452,Virtual Casino,17778,43,25,2992632
493887283,Casino,15275,54,26,2571300
493057,PUBG: BATTLEGROUNDS,13721,687,27,2309671
55453844,Street Fighter 6,14255,190,28,2399521
29307,Path of Exile,13308,238,29,2240170
512953,ELDEN RING,12506,592,30,2105097
491931,Escape from Tarkov,11479,587,31,1932339
1337444628,Call of Duty: Modern Warfare III,10631,970,32,1789481
509659,ASMR,12069,176,33,2031668
497057,Destiny 2,9998,738,34,1683011
509660,Art,10182,633,35,1714022
27546,World of Tanks,10515,157,36,1770105
489776,Fallout 4,8695,664,37,1463680
506246,Fallout 76,8775,597,38,1477062
743,Chess,9602,63,39,1616258
490100,Lost Ark,9204,256,40,1549306
1494,Call of Duty,3935,2746,41,662469
30921,Rocket League,7480,814,42,1259051
766571430,HELLDIVERS 2,7264,740,43,1222707
493959,Red Dead Redemption 2,7366,419,44,1239946
509663,Special Events,7953,82,45,1338685
509672,Travel & Outdoors,7793,135,46,1311788
386821,Black Desert,7549,195,47,1270815
498592,I'm Only Sleeping,7378,203,48,1241934
252812003,Supermarket Simulator,7405,162,49,1246520
1743359147,Marvel Snap,7596,40,50,1278633
27284,Retro,7061,279,51,1188569
417752,Talk Shows & Podcasts,7063,277,52,1188941
490744,Stardew Valley,6597,382,53,1110527
213930085,Honkai: Star Rail,6692,333,54,1126484
66082,Games + Demos,5887,526,56,991028
513181,Genshin Impact,6037,418,57,1016299
623879571,NBA 2K24,4852,971,58,816678
394568,RimWorld,6511,116,59,1095937
19619,Tibia,6259,197,60,1053591
394758168,Content Warning,6177,232,61,1039864
516588,Rise Online,6375,45,64,1073130
459931,Old School RuneScape,6103,151,65,1027312
780302568,XDefiant,6199,317,67,943227
538054672,TEKKEN 8,5656,194,68,952127
32507,SMITE,5252,163,69,884065
272263131,"Animals, Aquariums, and Zoos",4861,292,70,818310
65632,DayZ,4882,272,71,821763
497497,Brawl Stars,4950,197,72,833275
18846,Garry's Mod,5012,35,73,843760
1398657661,Anime Squad,4759,136,74,801142
490377,Sea of Thieves,4160,306,75,700277
23453,Fallout: New Vegas,4278,198,76,720054
116747788,"Pools, Hot Tubs, and Beaches",4276,68,78,719743
2748,Magic: The Gathering,4212,86,79,708946
1469308723,Software and Game Development,4013,137,80,675495
2009321156,Dark and Darker,3880,98,82,653115
500188,Hunt: Showdown,3464,230,83,583168
499003,VRChat,3383,103,84,569516
1715920432,The Game of Sisyphus,3396,14,86,571730
512923,Baldur's Gate 3,2825,295,87,475524
510218,Among Us,3178,81,88,534931
890558948,Torchlight: Infinite,3316,39,89,532842
2897,The Simpsons: Hit & Run,3159,24,90,531811
31336,Metin2,3106,42,91,522875
488190,Poker,3042,68,92,512066
2692,Super Mario 64,2967,37,93,499520
13332,Pokémon FireRed/LeafGreen,2888,34,96,486136
490422,StarCraft II,2695,41,99,453640
12839,Heroes of Might and Magic III: The Restoration of Erathia,2662,27,100,448117
